Country Name,Year,Tariff_Rate,GDP_bil,FDI_bil,TB_bil
Algeria,2005,10.23,107.046618669707,-1.10099999999995,24.200999999998903
Algeria,2006,9.93,123.08425869301,-1.7620000000000702,31.9470000000014
Algeria,2007,9.63,142.482739809849,-1.53974512774472,30.1256067552432
Algeria,2008,9.2,180.383848331135,-2.32075466357849,32.47630840181619
Algeria,2009,9.36,150.31729207935902,-2.53250756545895,-0.9098065772498016
Algeria,2014,8.35,238.94266419259,-1.52077711923079,-7.677836862531593
Algeria,2015,8.27,187.493855609345,0.63891521534559,-25.3849083621844
Algeria,2016,8.85,180.763839522151,-1.59172307205371,-27.4494901805444
Algeria,2017,9.38,189.880896903073,-1.23880987576889,-22.4026359344411
Algeria,2018,9.98,194.554483655528,-0.6199045399361021,-15.701394555132795
Algeria,2019,9.99,193.459662090677,-1.35005161414718,-15.707643325166496
Algeria,2020,10.16,164.873415325201,-1.1293127835539898,-17.445134687810203
Algeria,2021,10.29,186.231205262082,-0.919756337019922,-2.4411257828097
Algeria,2022,9.25,225.638456572143,-0.15555235531552,22.612781485899703
Argentina,1992,12.66,228.77891730817,-3.26506322308014,-3.9533
Argentina,1993,12.53,236.74171501501505,-2.08801541009827,-5.68924
Argentina,1995,8.34,258.03175,-4.11227440356467,-1.078685
Argentina,1996,13.33,272.14975,-5.3477876866472505,-1.7874494237252003
Argentina,1997,13.93,292.859,-5.5074540524446,-6.507815237430695
Argentina,1998,15.67,298.94825,-4.96518013208156,-7.541547974188698
Argentina,1999,11.29,283.523,-22.2574133896428,-4.905758055835098
Argentina,2000,10.52,284.20375,-9.51728613980497,-1.8318834719566
Argentina,2001,9.25,268.69675,-2.00526014226883,3.521810643664101
Argentina,2002,12.01,97.7240042518602,-2.77605,15.71728
Argentina,2003,12.87,127.586973492177,-0.87823,15.6115
Argentina,2004,5.96,164.657930452787,-3.44872,11.93361
Argentina,2005,5.22,198.73709501228203,-3.95419,12.09522
Argentina,2006,5.49,232.557260817308,-3.09862706563234,13.266642573159402
Argentina,2007,5.83,287.530508430568,-4.96892480078457,12.570579976288796
Argentina,2008,5.39,361.558037110419,-8.33461854064712,13.3409369732968
Argentina,2009,5.93,332.97648457761903,-3.30561252113841,16.652818510395708
Argentina,2010,5.99,423.62742209249,-10.3679579460427,12.343520648578291
Argentina,2011,5.68,530.1581220104421,-9.3519309446815,9.198443049713593
Argentina,2012,6.02,545.982375701128,-14.2690843387678,10.9436880625681
Argentina,2013,6.27,552.0251402522459,-8.93168899943165,-0.6936808744290008
Argentina,2014,6.63,526.319673731638,-3.1447941088598097,0.9001776594986878
Argentina,2015,7.35,594.7492854132121,-10.8837607839318,-6.600221085864395
Argentina,2016,7.53,557.5323206629549,-1.47363340702589,-4.0354982439357
Argentina,2017,7.93,643.628393281364,-10.36123124426,-15.14250169976439
Argentina,2018,7.42,524.819892360176,-9.99078824604858,-9.678495464234697
Argentina,2019,7.26,447.75468361522496,-5.12645968619073,13.390550040882408
Argentina,2020,6.88,385.740508436965,-3.7069507673516,12.094415410625505
Argentina,2021,6.51,486.564085480036,-5.11418794151842,14.995374116872192
Argentina,2022,6.45,632.7900700631241,-13.1107639346583,5.529161408284897
Brazil,1989,31.92,412.99082028742,-0.608,13.327
Brazil,1990,18.95,464.989098144854,-0.324,6.986
Brazil,1991,16.54,342.534090909091,-0.089,6.687
Brazil,1992,15.71,328.191909882232,-1.924,11.897
Brazil,1993,13.02,368.2920343809601,-0.801,8.739
Brazil,1994,13.26,525.369467295737,-2.035,5.515
Brazil,1995,10.97,769.333050986905,-3.475,-10.652
Brazil,1996,14.83,850.426432991742,-11.667,-13.512
Brazil,1997,14.0,883.206179730462,-17.8773703106468,-19.380594698576303
Brazil,1998,15.94,863.710759256435,-26.00159691642,-18.610746032742608
Brazil,1999,12.31,599.6420243195311,-26.8880176149902,-9.991935231310302
Brazil,2000,12.69,655.448231983527,-30.49765269975,-10.570608610064102
Brazil,2001,10.47,559.9836347989809,-24.714939372251,-7.220433515306206
Brazil,2002,10.01,509.79527380671504,-14.1080961931141,5.9211774486924975
Brazil,2003,9.53,558.2337456518741,-9.89422467099009,17.461618605616103
Brazil,2004,7.67,669.289424806307,-8.33889645975335,25.82951095706489
Brazil,2005,7.17,891.633839853105,-12.549590734979,33.6742292164115
Brazil,2006,6.7,1107.62654171074,9.3802830470622,33.452513822936005
Brazil,2007,6.77,1397.11448647138,-27.518241273264803,22.21725417570102
Brazil,2008,6.74,1695.85508355205,-24.6010902736125,1.9800845118680117
Brazil,2009,7.59,1666.99643868146,-36.0328058,2.316649166288025
Brazil,2010,7.76,2208.83774521423,-55.6269218726,-19.368906955830017
Brazil,2011,7.84,2616.1562239774703,-86.36011120453999,-16.82970857457495
Brazil,2012,7.76,2465.22780301157,-90.48512367043,-31.63963580495001
Brazil,2013,10.08,2472.81953574273,-59.567525424580005,-54.583362068380005
Brazil,2014,7.79,2456.0437271988503,-67.1071293521,-63.79150750157498
Brazil,2015,8.27,1802.21220690468,-61.60417636471,-28.22492693844501
Brazil,2016,8.01,1795.69348265252,-59.60114588235,7.888268360799988
Brazil,2017,8.59,2063.51497733432,-47.54497833999,15.770565742070008
Brazil,2018,7.95,1916.93389803836,-76.15927043066,5.020740727415008
Brazil,2019,7.97,1873.2882051864497,-46.35480725149,-8.913681707434998
Brazil,2020,8.41,1476.10723119411,-41.737369809010005,11.006501378434995
Brazil,2021,7.76,1670.64739903467,-30.20117340034,15.35511939101001
Brazil,2022,7.26,1951.92394208332,-41.25176957123001,10.63164881877002
Canada,1989,7.02,567.211993243243,-0.7564269090826761,0.3635640388450012
Canada,1993,3.59,579.0535617394,0.962554678562879,0.0632069505339965
Canada,1995,6.69,605.9610900612071,2.17089557605244,18.904083589169005
Canada,1996,5.43,630.607994132747,3.47175171469391,24.629288042450987
Canada,1997,1.99,654.9869998555539,11.546289244787902,12.429974698068024
Canada,1998,1.44,634.0,11.3694854818881,12.048309635264983
Canada,1999,1.01,678.4121962711181,-7.52646852715749,24.096639864594025
Canada,2000,1.31,744.773415931587,-21.6530389936265,41.604373750772034
Canada,2001,1.6,738.9817923553719,8.440763882988751,41.819090368646
Canada,2002,1.49,760.649334098005,4.74922927795075,32.83990142596704
Canada,2003,2.46,895.540646634787,16.4175679963288,34.073822805146975
Canada,2004,1.51,1026.69023827825,43.370579702622,44.84675926268298
Canada,2005,1.46,1173.1085987786798,1.72738933884794,45.67811061290301
Canada,2006,1.45,1319.26480959097,-13.9500224173474,35.20436038228003
Canada,2007,1.54,1468.82040778326,-55.3102075339084,30.61167162508496
Canada,2008,1.54,1552.9896907216498,18.5689744691936,28.14424747881
Canada,2009,1.7,1374.62514215729,16.7879960959599,-20.294599835754028
Canada,2010,1.46,1617.34336748626,6.62666713417278,-30.874997989832032
Canada,2011,1.38,1793.32663017452,11.7563933104902,-21.68266482168103
Canada,2012,1.4,1828.3664815216,12.8794667858116,-34.51833488252197
Canada,2013,1.45,1846.59742183498,-12.5632360127314,-28.982082930359987
Canada,2014,1.43,1805.74987843994,0.80519168844975,-16.32099899860596
Canada,2015,1.65,1556.5088162171398,23.9276327153373,-38.58377587152301
Canada,2016,1.56,1527.99474190743,33.404095512752704,-36.24167690868298
Canada,2017,1.52,1649.26564424409,52.8299858947131,-36.23767359517096
Canada,2018,1.47,1725.32919278302,20.156533320492297,-33.73277427158899
Canada,2019,1.51,1743.72518367252,26.9654311451468,-25.53810277571301
Canada,2020,1.49,1655.68473000019,18.3061661142054,-36.49924417099597
Canada,2021,2.35,2007.4721814641496,44.5395424271725,2.02731025248999
Canada,2022,1.37,2161.48336942201,38.444704429740895,12.724832765503052
Chile,1992,10.95,45.9496085518086,-0.5383,0.546
Chile,1993,10.94,49.2873785991612,-0.6001,-1.2157
Chile,1994,10.93,56.998601183549205,-1.6714,0.581
Chile,1995,10.63,73.44483167101691,-2.205,1.0569
Chile,1996,10.97,78.5840989829097,-3.68116377653,-1.0726251331072003
Chile,1997,10.97,85.7414152854035,-3.80870717691221,-1.5633808083970986
Chile,1998,10.94,81.990010703843,-3.1443367144102203,-2.4920773231436004
Chile,1999,9.96,75.5786857355219,-6.20309223047737,1.6899734273837013
Chile,2000,9.0,78.3397507217352,-0.873370518197886,1.4000546775485991
Chile,2001,8.0,71.5747395614329,-2.5900310126275503,0.9992865511352996
Chile,2002,6.96,70.2640459391322,-2.2067696529762504,1.6841008830323982
Chile,2003,5.77,76.4925796440605,-1.66624712173583,3.4766801800182
Chile,2004,3.95,99.075985773176,-3.01764539004003,9.4590766254275
Chile,2005,3.99,122.294145162835,-3.99343362659268,10.240622954473295
Chile,2006,2.36,153.84351817143,-2.728251611265,21.620045741332696
Chile,2007,2.95,172.491076033863,-6.184057147891441,22.85556796825019
Chile,2008,2.27,179.89459447598,-10.3491176913971,4.338523547953003
Chile,2009,1.92,171.777900623177,-6.94460759204394,13.216148168532998
Chile,2010,2.08,217.051209240298,-6.28854423152442,13.346978494572998
Chile,2011,1.98,251.382573885594,-9.47784718798582,7.340657002242599
Chile,2012,1.78,267.02478248028,-11.8669850871326,-1.2471857658424987
Chile,2013,5.89,277.395018837366,-11.7977612326386,-2.5653128207686007
Chile,2015,0.64,242.450355827827,-1.91515209571277,-1.995119986586609
Chile,2016,5.89,249.344863933461,-3.4869794677174704,-0.5279473706511993
Chile,2017,0.49,276.15425998710305,-2.7022475782580297,1.879849955367905
Chile,2018,0.49,295.85756299170896,-6.096032661201701,-2.9329059949604037
Chile,2019,0.43,278.285058719466,-3.23401455863705,-5.068925698041
Chile,2020,0.43,254.04215930931105,-5.0491097951587,11.444340118768205
Chile,2021,0.43,315.515014838539,-0.6038631448322,-2.188473339125
Chile,2022,0.46,302.11653940903005,-5.0303050585240205,-11.869384984694
China,1992,32.17,426.9157127158561,-7.156,4.998
China,1993,30.29,444.731282435515,-23.115,-11.497
China,1994,27.93,564.3218545210129,-31.787,7.611
China,1996,19.76,863.749314718538,-38.066,17.551
China,1997,15.82,961.6019809846232,-41.674,42.824
China,1998,15.5,1029.06074762065,-41.117,43.837
China,1999,14.46,1094.00387493734,-36.978,30.641
China,2000,14.67,1211.3316518660902,-37.4833,28.873534
China,2001,14.11,1339.40089710511,-37.357,28.084
China,2002,7.72,1470.55765479995,-46.7895691787806,37.383087664019016
China,2003,6.48,1660.28054384679,-49.444853743823096,35.82112906629297
