Country Name,Year,Exports,FDI,GDP,Imports,Tariff_Rate,Trade_Balance,GDP_bil,FDI_bil,TB_bil
Algeria,1975,,,15557902754.033,,,,15.557902754033002,,
Algeria,1976,,,17728240932.3158,,,,17.7282409323158,,
Algeria,1977,6296484604.95363,-172906145.605199,20972113684.9558,7732304954.93042,,-1435820349.9767895,20.9721136849558,-0.172906145605199,-1.4358203499767894
Algeria,1978,6665574020.1885,-134900022.727477,26364491313.4471,9254645858.25529,,-2589071838.0667887,26.3644913134471,-0.134900022727477,-2.5890718380667885
Algeria,1979,9952075298.00309,-10121282.3777543,33243706859.6596,10198878875.9837,,-246803577.9806099,33.243706859659596,-0.0101212823777543,-0.2468035779806099
Algeria,1980,14128131966.3131,-315052964.941577,42345829079.2062,12311300476.1785,,1816831490.1346016,42.3458290792062,-0.31505296494157703,1.8168314901346017
Algeria,1981,14590777706.2831,1390237.82753487,44348590460.9288,12809651342.9063,,1781126363.3768005,44.348590460928804,0.00139023782753487,1.7811263633768006
Algeria,1982,14037306082.398,64892761.8217647,45207167470.3497,12560015826.6971,,1477290255.700901,45.2071674703497,0.0648927618217647,1.4772902557009011
Algeria,1983,13421525228.3289,14199799.5352071,48801369800.3675,11952890079.342,,1468635148.9869003,48.8013698003675,0.0141997995352071,1.4686351489869003
Algeria,1984,13390724158.9444,13846038.0777624,53698548293.0745,11817894500.198,,1572829658.7464008,53.6985482930745,0.0138460380777624,1.5728296587464008
Algeria,1985,13565575400.7717,1988941.4853415,57937868670.1937,11385098850.3918,,2180476550.3799,57.9378686701937,0.0019889414853415,2.1804765503799
Algeria,1986,8613839277.8028,-10633056.7557126,63692007897.3834,9914687441.29668,,-1300848163.4938812,63.6920078973834,-0.0106330567557126,-1.3008481634938813
Algeria,1987,9593913077.84437,11340810.2493432,66745818375.493,8071151556.18256,,1522761521.66181,66.745818375493,0.0113408102493432,1.52276152166181
Algeria,1988,8090598107.5613,-8115282.09058683,59089396860.4342,8022125414.92197,,68472692.63932991,59.0893968604342,-0.00811528209058683,0.06847269263932991
Algeria,1989,10029626725.168,-3942928.3033251,55634721572.7343,9604841915.95649,,424784809.2115097,55.6347215727343,-0.0039429283033250995,0.4247848092115097
Algeria,1990,13461667632.6471,4353889.3349248,62048507531.3357,10106493528.2412,,3355174104.405901,62.0485075313357,0.0043538893349248,3.355174104405901
Algeria,1991,12723141362.6737,38651265.7071517,45715676428.2766,8024901375.66567,,4698239987.00803,45.7156764282766,0.0386512657071517,4.69823998700803
Algeria,1992,,,48003133346.9957,,,,48.003133346995696,,
Algeria,1993,,,49945584452.6506,,15.44,,49.9455844526506,,
Algeria,1994,,,42543176828.9237,,,,42.5431768289237,,
Algeria,1995,,,41764291671.7711,,,,41.764291671771105,,
Algeria,1996,,,46941554225.3581,,,,46.941554225358104,,
Algeria,1997,,,48177612042.1507,,16.93,,48.177612042150706,,
Algeria,1998,,,48187781984.4881,,17.26,,48.1877819844881,,
Algeria,1999,,,48640671734.9711,,,,48.6406717349711,,
Algeria,2000,,,54790398570.3282,,,,54.7903985703282,,
Algeria,2001,,,59413400923.6364,,15.16,,59.413400923636395,,
Algeria,2002,,,61516103406.1688,,12.99,,61.5161034061688,,
Algeria,2003,,,73482264190.9245,,11.97,,73.4822641909245,,
Algeria,2004,,,91913680985.1708,,,,91.91368098517081,,
Algeria,2005,48840999999.9978,-1100999999.99995,107046618669.707,24639999999.9989,10.23,24200999999.9989,107.046618669707,-1.10099999999995,24.200999999998903
Algeria,2006,57304000000.0025,-1762000000.00007,123084258693.01,25357000000.0011,9.93,31947000000.001404,123.08425869301,-1.7620000000000702,31.947000000001402
Algeria,2007,63329352193.4836,-1539745127.74472,142482739809.849,33203745438.2404,9.63,30125606755.2432,142.482739809849,-1.53974512774472,30.125606755243197
Algeria,2008,81544414106.109,-2320754663.57849,180383848331.135,49068105704.2928,9.2,32476308401.816193,180.383848331135,-2.32075466357849,32.47630840181619
Algeria,2009,48109316609.1718,-2532507565.45895,150317292079.359,49019123186.4216,9.36,-909806577.2498016,150.31729207935902,-2.53250756545895,-0.9098065772498016
Algeria,2010,60587734433.8983,-2081136054.38595,177785053939.531,50644656909.0046,,9943077524.8937,177.785053939531,-2.0811360543859503,9.943077524893699
Algeria,2011,76387318691.2563,-2037319357.9126,218331946925.304,59387305190.4489,,17000013500.807404,218.33194692530398,-2.0373193579126,17.000013500807402
Algeria,2012,75187930613.1179,-1541844615.21892,227143746075.934,62382252618.1873,,12805677994.930603,227.143746075934,-1.54184461521892,12.805677994930603
Algeria,2013,68589769661.1321,-1963635049.70214,229701430292.157,65666477896.2461,,2923291764.8860016,229.701430292157,-1.9636350497021402,2.9232917648860015
Algeria,2014,63586929716.4811,-1520777119.23079,238942664192.59,71264766579.0127,8.35,-7677836862.531593,238.94266419259,-1.52077711923079,-7.677836862531593
Algeria,2015,37905326615.2648,638915215.34559,187493855609.345,63290234977.4492,8.27,-25384908362.184402,187.493855609345,0.63891521534559,-25.3849083621844
Algeria,2016,32746852186.7272,-1591723072.05371,180763839522.151,60196342367.2716,8.85,-27449490180.5444,180.763839522151,-1.5917230720537099,-27.449490180544398
Algeria,2017,37680842571.7904,-1238809875.76889,189880896903.073,60083478506.2315,9.38,-22402635934.4411,189.880896903073,-1.23880987576889,-22.4026359344411
Algeria,2018,44387318895.8475,-619904539.936102,194554483655.528,60088713450.9803,9.98,-15701394555.132797,194.554483655528,-0.6199045399361021,-15.701394555132797
Algeria,2019,38551346600.0539,-1350051614.14718,193459662090.677,54258989925.2204,9.99,-15707643325.166496,193.459662090677,-1.3500516141471801,-15.707643325166496
Algeria,2020,24901914032.5803,-1129312783.55399,164873415325.201,42347048720.3905,10.16,-17445134687.810204,164.873415325201,-1.1293127835539898,-17.445134687810203
Algeria,2021,41845985606.7384,-919756337.019922,186231205262.082,44287111389.5481,10.29,-2441125782.8097,186.231205262082,-0.919756337019922,-2.4411257828097
Algeria,2022,69226170650.7752,-155552355.31552,225638456572.143,46613389164.8755,9.25,22612781485.899704,225.638456572143,-0.15555235531552,22.612781485899703
Algeria,2023,59426117365.1072,-1050427910.7179,247626161016.414,51131261544.4245,,8294855820.682701,247.626161016414,-1.0504279107179,8.2948558206827
Argentina,1975,,,52438647921.9226,,,,52.4386479219226,,
Argentina,1976,4632000000.0,,51169499892.1722,3507000000.0,,1125000000.0,51.169499892172205,,1.125
Argentina,1977,6602000000.0,-145000000.0,56781000101.0848,4766000000.0,,1836000000.0,56.7810001010848,-0.145,1.836
Argentina,1978,7488000000.0,-273000000.0,89049453088.3282,5032000000.0,,2456000000.0,89.0494530883282,-0.273,2.456
Argentina,1979,9179000000.0,-265000000.0,69252328951.6441,8842000000.0,,337000000.0,69.2523289516441,-0.265,0.337
Argentina,1980,9897000000.0,-788000000.0,76961923741.0701,13182000000.0,,-3285000000.0,76.9619237410701,-0.788,-3.285
Argentina,1981,10859000000.0,-944000000.0,78676842366.5529,11865000000.0,,-1006000000.0,78.6768423665529,-0.944,-1.006
Argentina,1982,9197000000.0,-257000000.0,84307486836.724,6877000000.0,,2320000000.0,84.307486836724,-0.257,2.32
Argentina,1983,9290000000.0,-183000000.0,103979106777.911,6343000000.0,,2947000000.0,103.979106777911,-0.183,2.947
Argentina,1984,9611000000.0,-268000000.0,116915052107.031,6407000000.0,,3204000000.0,116.915052107031,-0.268,3.204
Argentina,1985,10047000000.0,-919000000.0,88150891728.1064,5705000000.0,,4342000000.0,88.1508917281064,-0.919,4.342
Argentina,1986,8449000000.0,-574000000.0,105872372613.857,6906000000.0,,1543000000.0,105.872372613857,-0.574,1.543
Argentina,1987,8154000000.0,19000000.0,108810885301.253,7909000000.0,,245000000.0,108.81088530125301,0.019,0.245
Argentina,1988,11149000000.0,-1147000000.0,126890235049.092,7594000000.0,,3555000000.0,126.890235049092,-1.147,3.555
Argentina,1989,11766000000.0,-1028000000.0,76629728760.123,6657000000.0,,5109000000.0,76.629728760123,-1.028,5.109
Argentina,1990,14800000000.0,-1836000000.0,141352630146.731,6846000000.0,,7954000000.0,141.35263014673097,-1.836,7.954
Argentina,1991,14386000000.0,-2439000000.0,189719984268.485,11566000000.0,,2820000000.0,189.71998426848498,-2.439,2.82
Argentina,1992,15366200000.0,-3265063223.08014,228778917308.17,19319500000.0,12.66,-3953300000.0,228.77891730817,-3.26506322308014,-3.9533
Argentina,1993,16286160000.0,-2088015410.09827,236741715015.015,21975400000.0,12.53,-5689240000.0,236.74171501501502,-2.08801541009827,-5.68924
Argentina,1994,19355700000.0,-2622087878.26435,257440000000.0,27273600000.0,,-7917900000.0,257.44,-2.6220878782643497,-7.9179
Argentina,1995,24956432000.0,-4112274403.56467,258031750000.0,26035117000.0,8.34,-1078685000.0,258.03175,-4.11227440356467,-1.078685
Argentina,1996,28424754642.4929,-5347787686.64725,272149750000.0,30212204066.2181,13.33,-1787449423.7252007,272.14975,-5.3477876866472505,-1.7874494237252005
Argentina,1997,31003771471.3552,-5507454052.4446,292859000000.0,37511586708.7859,13.93,-6507815237.430695,292.859,-5.5074540524446,-6.507815237430695
Argentina,1998,31255969562.6127,-4965180132.08156,298948250000.0,38797517536.8014,15.67,-7541547974.188698,298.94825,-4.96518013208156,-7.541547974188698
Argentina,1999,27997318724.6817,-22257413389.6428,283523000000.0,32903076780.5168,11.29,-4905758055.835098,283.523,-22.2574133896428,-4.905758055835098
Argentina,2000,31236920314.834,-9517286139.80497,284203750000.0,33068803786.7906,10.52,-1831883471.9566002,284.20375,-9.51728613980497,-1.8318834719566002
Argentina,2001,31116753076.8311,-2005260142.26883,268696750000.0,27594942433.167,9.25,3521810643.6641006,268.69675,-2.00526014226883,3.5218106436641006
Argentina,2002,29054500000.0,-2776050000.0,97724004251.8602,13337220000.0,12.01,15717280000.0,97.7240042518602,-2.77605,15.71728
Argentina,2003,34336010000.0,-878230000.0,127586973492.177,18724510000.0,12.87,15611500000.0,127.58697349217701,-0.87823,15.6115
Argentina,2004,39757250000.0,-3448720000.0,164657930452.787,27823640000.0,5.96,11933610000.0,164.65793045278699,-3.44872,11.93361
Argentina,2005,46892210000.0,-3954190000.0,198737095012.282,34796990000.0,5.22,12095220000.0,198.73709501228203,-3.95419,12.09522
Argentina,2006,54528515092.9204,-3098627065.63234,232557260817.308,41261872519.761,5.49,13266642573.1594,232.55726081730802,-3.09862706563234,13.266642573159402
Argentina,2007,66122298496.1757,-4968924800.78457,287530508430.568,53551718519.8869,5.83,12570579976.288795,287.530508430568,-4.96892480078457,12.570579976288796
Argentina,2008,81583621071.7764,-8334618540.64712,361558037110.419,68242684098.4796,5.39,13340936973.296799,361.558037110419,-8.33461854064712,13.340936973296799
Argentina,2009,66335605323.6348,-3305612521.13841,332976484577.619,49682786813.2391,5.93,16652818510.395706,332.97648457761903,-3.30561252113841,16.652818510395708
Argentina,2010,81123016360.6088,-10367957946.0427,423627422092.49,68779495712.0305,5.99,12343520648.578293,423.62742209249,-10.367957946042699,12.343520648578293
Argentina,2011,97616690275.3835,-9351930944.6815,530158122010.442,88418247225.6699,5.68,9198443049.713593,530.1581220104421,-9.351930944681499,9.198443049713593
Argentina,2012,94330755729.5577,-14269084338.7678,545982375701.128,83387067666.9896,6.02,10943688062.5681,545.982375701128,-14.269084338767799,10.9436880625681
Argentina,2013,89608120129.4452,-8931688999.43165,552025140252.246,90301801003.8742,6.27,-693680874.4290009,552.0251402522459,-8.93168899943165,-0.6936808744290008
Argentina,2014,81836807734.7264,-3144794108.85981,526319673731.638,80936630075.2277,6.63,900177659.4986877,526.319673731638,-3.1447941088598097,0.9001776594986878
Argentina,2015,70022565842.9763,-10883760783.9318,594749285413.212,76622786928.8407,7.35,-6600221085.864395,594.7492854132121,-10.8837607839318,-6.600221085864395
Argentina,2016,71384640574.7552,-1473633407.02589,557532320662.955,75420138818.6909,7.53,-4035498243.9356995,557.5323206629549,-1.47363340702589,-4.0354982439357
Argentina,2017,74168075513.7622,-10361231244.26,643628393281.364,89310577213.5266,7.93,-15142501699.764389,643.628393281364,-10.36123124426,-15.14250169976439
Argentina,2018,77143165816.1223,-9990788246.04858,524819892360.176,86821661280.357,7.42,-9678495464.234695,524.819892360176,-9.99078824604858,-9.678495464234695
Argentina,2019,79964482529.4226,-5126459686.19073,447754683615.225,66573932488.5402,7.26,13390550040.882408,447.75468361522496,-5.12645968619073,13.390550040882408
Argentina,2020,64437247305.5735,-3706950767.3516,385740508436.965,52342831894.948,6.88,12094415410.625504,385.740508436965,-3.7069507673516,12.094415410625503
Argentina,2021,87575311843.1028,-5114187941.51842,486564085480.036,72579937726.2306,6.51,14995374116.872192,486.564085480036,-5.11418794151842,14.995374116872192
Argentina,2022,102928288550.402,-13110763934.6583,632790070063.124,97399127142.1171,6.45,5529161408.284897,632.7900700631241,-13.1107639346583,5.529161408284897
Argentina,2023,82946767239.5484,-20904799580.0164,646075277525.125,92299514643.4691,,-9352747403.9207,646.075277525125,-20.904799580016398,-9.3527474039207
Brazil,1975,9552000000.0,-1190000000.0,129203555238.827,14546000000.0,,-4994000000.0,129.203555238827,-1.19,-4.994
Brazil,1976,10979000000.0,-1372000000.0,153168949208.207,14950000000.0,,-3971000000.0,153.168949208207,-1.372,-3.971
Brazil,1977,13130000000.0,-1687000000.0,176344101401.941,14816000000.0,,-1686000000.0,176.344101401941,-1.687,-1.686
Brazil,1978,13823000000.0,-1882000000.0,200278646123.581,16705000000.0,,-2882000000.0,200.27864612358098,-1.882,-2.882
Brazil,1979,16719000000.0,-2223000000.0,221338204480.222,21760000000.0,,-5041000000.0,221.33820448022198,-2.223,-5.041
Brazil,1980,21869000000.0,-1544000000.0,237393489892.637,27826000000.0,,-5957000000.0,237.393489892637,-1.544,-5.957
Brazil,1981,25541000000.0,-2313000000.0,258015174748.648,27229000000.0,,-1688000000.0,258.015174748648,-2.313,-1.688
Brazil,1982,21982000000.0,-2534000000.0,271314113768.417,24792000000.0,,-2810000000.0,271.314113768417,-2.534,-2.81
Brazil,1983,23622000000.0,-1422000000.0,189656506321.431,19560000000.0,,4062000000.0,189.656506321431,-1.422,4.062
Brazil,1984,28949000000.0,-1552000000.0,188339974086.58,17612000000.0,,11337000000.0,188.33997408657999,-1.552,11.337
Brazil,1985,27720000000.0,-1360000000.0,210879844638.877,16958000000.0,,10762000000.0,210.87984463887702,-1.36,10.762
Brazil,1986,24164000000.0,-202000000.0,256480852471.129,18433000000.0,,5731000000.0,256.480852471129,-0.202,5.731
Brazil,1987,28162000000.0,-1031000000.0,283056836893.838,19368000000.0,,8794000000.0,283.056836893838,-1.031,8.794
Brazil,1988,36052000000.0,-2629000000.0,307881930752.268,19907000000.0,,16145000000.0,307.88193075226803,-2.629,16.145
Brazil,1989,37507000000.0,-608000000.0,412990820287.42,24180000000.0,31.92,13327000000.0,412.99082028742,-0.608,13.327
Brazil,1990,35170000000.0,-324000000.0,464989098144.854,28184000000.0,18.95,6986000000.0,464.989098144854,-0.324,6.986
Brazil,1991,34938000000.0,-89000000.0,342534090909.091,28251000000.0,16.54,6687000000.0,342.534090909091,-0.089,6.687
Brazil,1992,39881000000.0,-1924000000.0,328191909882.232,27984000000.0,15.71,11897000000.0,328.191909882232,-1.924,11.897
Brazil,1993,43595000000.0,-801000000.0,368292034380.96,34856000000.0,13.02,8739000000.0,368.29203438096005,-0.801,8.739
Brazil,1994,49010000000.0,-2035000000.0,525369467295.737,43495000000.0,13.26,5515000000.0,525.369467295737,-2.035,5.515
Brazil,1995,52641000000.0,-3475000000.0,769333050986.905,63293000000.0,10.97,-10652000000.0,769.333050986905,-3.475,-10.652
Brazil,1996,52506000000.0,-11667000000.0,850426432991.742,66018000000.0,14.83,-13512000000.0,850.426432991742,-11.667,-13.512
Brazil,1997,58957558270.8937,-17877370310.6468,883206179730.462,78338152969.47,14.0,-19380594698.5763,883.206179730462,-17.8773703106468,-19.380594698576303
Brazil,1998,58238025881.3574,-26001596916.42,863710759256.435,76848771914.1,15.94,-18610746032.742607,863.710759256435,-26.00159691642,-18.610746032742608
Brazil,1999,54495001559.5396,-26888017614.9902,599642024319.531,64486936790.8499,12.31,-9991935231.310303,599.6420243195311,-26.8880176149902,-9.991935231310302
Brazil,2000,63583901173.1358,-30497652699.75,655448231983.527,74154509783.1999,12.69,-10570608610.064102,655.448231983527,-30.49765269975,-10.570608610064102
Brazil,2001,66661635383.9759,-24714939372.251,559983634798.981,73882068899.2821,10.47,-7220433515.306206,559.9836347989809,-24.714939372251,-7.220433515306206
