Series Name,Series Code,Country Name,Country Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975]
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,France,FRA,..,1049655653721.57,1021289419926.47,926762420146.956,748494722626.696,885999434707.238,903396692144.506,825944382545.598,768970442330.427,769329236242.708,870264561343.214,851751287561.713,795261606816.097,823711000283.503,709353195634.281,665186005058.902,827364384303.916,741104539983.263,650542716762.854,592887824736.823,559606270072.316,485610553980.227,418705150497.578,391797875796.14,390238669734.531,403178240660.602,387982971657.585,366861237025.893,365375478068.312,362717041241.79,306331496171.708,285421050687.19,319207509078.733,289271661957.651,285334911479.438,232015952563.148,215673032711.126,193443755928.364,163598668255.738,132509046255.836,127385577956.331,125212890354.372,128426866586.616,142933789673.621,151617717128.542,130892500177.401,104961538327.85,84313118006.9683,72973482962.3865,68248377440.3913
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,India,IND,..,773177224117.866,767643055702.076,643079815639.228,484690629550.363,546033120468,537042432147.227,489400913160.193,430433487927.696,428630903175.949,485583046457.597,468273426431.433,443845180758.278,446375404070.601,348035371769.33,260847157421.868,305119336663.061,240082039833.715,193316062904.371,154582031679.649,116019759652.382,84795030552.851,70619282935.6584,62130222527.4737,59931697987.5545,51386266375.4722,45766843440.0458,44812659333.5248,40975672886.2795,38013243235.1156,31560671994.8993,27122896193.4142,24953469070.621,23020341172.3229,22911050152.3697,20283679802.9595,17301077321.6336,15247435579.9095,13476274302.0899,12849204785.9406,13423608500.9944,13059989650.5483,12159028818.9729,11234710725.9819,11274397263.3685,9679969986.92073,8124589101.05027,7565571017.55048,6466191483.17676,5506716461.9692
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Jordan,JOR,..,22186056338.0282,20743380281.6901,13869577464.7887,10444366197.1831,16170140845.0704,15092676056.338,14300140845.0704,13538028169.0141,14120563380.2817,15524929577.4648,14227746478.8732,14307323943.662,13743802816.9014,12751830985.9155,11061126760.5634,12699000439.2287,9387591273.27682,8201269393.51199,6713822284.90832,5998589562.76446,4829901269.39351,4552187069.60031,3781899118.0253,3538928067.70099,3533568406.20592,3627503526.09309,3572355430.18336,3663187588.15233,3478760900.76081,2986435679.88044,2819970126.50351,2668155315.90237,2480703083.2941,2510985814.87715,2348678720.31538,2428071923.92045,2224780236.88858,1790821741.48039,1955969054.58644,1882888238.26306,1704499904.49129,1863619215.70397,1893240456.98687,1578090532.87592,1133559535.45086,869799880.96824,691421108.291598,551232493.251366,379309447.440185
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Korea, Rep.",KOR,835148800000,769243100000,825960900000,769423700000,607505000000,660506800000,729944000000,670011500000,606735200000,640581100000,725298800000,721717500000,706799100000,677772700000,546783400000,436472400000,523955000000,454215800000,386122900000,335799700000,301338300000,230672300000,191979100000,177196200000,202080000000,164257200000,154969600000,160620300000,149397600000,144002300000,110018600000,94868500000,85261300000,78598000000,70653500000,67709600000,65692600000,52267900000,37559800000,26719800000,29298300000,25863400000,23862000000,24161800000,20041500000,19097000000,16770000000,12830000000,9341000000,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Mexico,MEX,..,649728873247,630346513313,537713908105,445859223696,505102177921,491303164650,447850514897,408420912900,413808577565,428907843992,408130762236,396157428514,373594340249,320979993449,250818245588,316237593008,295280779345,270740251499,234082764566,205549766653,180827464407,176849075753,171480742850,179876114959,148095816000,129200335000,84319218000,75370878000,63142290000,50737270000,44960000000,41534000000,39774000000,38484000000,33051000000,28968000000,27529000000,22043000000,27741000000,30192000000,27217000000,26218000000,26061000000,20875000000,15181000000,..,..,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Malaysia,MYS,301788640250.677,274100270286.124,312879888024.449,263835854753.828,208216918909.246,238361133830.799,245885974787.62,223701888947.356,201120552699.396,209568171911.514,249538834188.691,244385450722.886,249376200391.976,254006731759.289,222011698915.434,186349502275.307,229973830065.324,205620995759.124,182565806815.992,161352673617.096,143900465789.474,118569842105.263,108234289473.684,102362894736.842,112286421052.632,95967605263.1579,83399522216.9135,93265596905.0573,92120547270.0588,83368732083.6459,66217227227.5196,52649571985.4939,44811865770.7583,38086349421.8322,32664725726.6972,27646134110.2131,23358938947.4756,20149320372.0376,15636611325.0671,17184971389.2571,18453332957.9934,15655358110.0899,13649102403.8256,13086529598.3965,14097677878.7362,11863692966.7142,8008059731.51349,6584369944.9619,5690959347.94072,4235972345.32754
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Morocco,MAR,..,61746152564.184,58575108623.129,47090235115.0489,37545355746.7581,44047981175.821,43253418108.9929,38836212339.6926,34394352740.4223,33292321658.95,36213462302.8064,32614403876.4055,32338623017.3005,31844811122.7425,27045459856.5698,23998812767.2247,30553936978.4759,23949506257.5875,19415061368.5585,16592106518.6742,14498316961.7924,12333845068.841,10522628112.547,9547663336.42249,8850886528.09601,8817554465.02312,8280045489.49229,7863037816.30799,8177950370.44948,7566067408.56004,6458202823.84057,6067293748.92626,6377113743.1738,6117348433.07625,6238558823.79704,4980539582.34422,5387524896.00019,4177181497.08855,3560935916.90761,3144813417.36127,2999628380.72748,2920412844.33986,2919298409.21552,3047582835.74221,3232785949.09568,2672302676.42898,2138237862.27532,1840039304.51859,1696417712.41487,1998443343.41935
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Niger,NER,..,1223070174.2002,1376035625.17133,1487136847.6609,1338006699.19756,1386654750.84676,1449983104.26273,1432532766.71701,1230659415.74388,1319344817.87426,1732074337.44015,1736172611.98106,1517711056.81696,1341423540.56863,1271292025.84926,1101191244.22468,1047354162.79192,748146204.868105,599040294.13334,565316780.377123,531012335.262725,416066685.435232,331557755.013054,329494483.967819,321412892.254684,321011462.508582,369309847.673208,310506270.475108,368329791.532071,321347302.078267,257204236.774964,336877140.222527,404984210.678334,401078443.905385,532837907.868942,422487440.660179,467019747.680123,531512700.895971,398529157.555303,297985837.051823,334628148.391581,375562203.05803,423132544.977369,524466338.594371,616642721.271706,520633433.34916,319167425.677882,222667981.893471,195011105.304183,162421393.880531
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Nigeria,NGA,..,60261419401.1843,69091131276.4452,50855778241.824,39937175154.1293,69926720656.4098,66038798663.3135,50847986748.8943,38447540355.5201,49047768015.8206,84587155224.017,99418985595.724,98523783918.4832,102437485783.987,82699269305.2759,58393121275.9672,88008517741.3096,67494191530.978,59232839787.0217,56994046166.6791,38102757791.7574,27448726478.0435,18137444461.1618,19644892959.4875,20965436458.5109,13855883974.2208,2808064126.79099,4878570066.56933,5279477112.81601,3840512881.58183,9829969085.28823,11072588286.6981,12843759890.7731,13140203698.4019,14550381537.9359,8423249444.82049,7238757172.56022,7784041162.88572,5334783287.68661,13429568191.5891,12289188092.2307,10757722286.0949,12657001206.9491,18770999751.5563,27071172783.9087,17759716952.8853,11317986728.3614,12936228105.9397,..,..
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,Netherlands,NLD,..,1022037291694.67,1007165526343.06,910794627175.974,757958840522.183,792513285251.208,809065319302.866,722989764124.084,644642998256.836,651578705935.125,733447325812.203,710591659611.34,673107293136.345,686231359629.555,590669598432.466,541700895799.534,673373055363.932,592754332677.184,499217848874.764,446165404233.216,410335990684.993,322281050659.684,260345355171.317,247715743201.99,247132511589.767,241957031399.71,240075330348.923,230653583932.439,235645307320.079,235119214986.763,177926115875.868,160440177021.11,168842942259.646,157271861092.423,153467606548.02,128032098294.42,121668003973.309,108519589260.709,91783512351.3408,78150510727.5954,75172758071.3387,74323137050.8225,77768606805.8408,80564720970.44,86364856866.2336,74366078975.8618,59470971580.974,51580231333.0544,46872659200.4516,42030401814.3698
