Series Name,Series Code,Country Name,Country Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,United States,USA,504289000000,551873000000,594931000000,633053000000,654799000000,720937000000,812810000000,867589000000,953803000000,952979000000,992910000000,1096111000000,1026812000000,997979000000,1035165000000,1176363000000,1301580000000,1470170000000,1659295000000,1835280000000,1582774000000,1857247000000,2115864000000,2217700000000,2287922000000,2378545000000,2270622000000,2235558000000,2388260000000,2538089000000,2539391000000,2151139000000,2555430000000,3017379000000,3052469000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Korea, Rep.",KOR,67556196550.8378,70825424625.8853,78616541304.1709,85583336364.9919,92953674158.8208,111597197969.048,145748724868.344,151333458387.205,161499993903.011,151556684650.83,162143920084.568,195550495929.334,174087560087.393,186748689121.303,220637266658.957,291526414644.93,329861919056.686,375223465252.325,438465966315.25,498972049006.635,426523458607.755,538712363592.342,668476213447.114,691347149426.783,703026030096.371,710051954712.967,630243710500.662,601861268514.151,664392545080.428,719710064860.371,648610576582.722,597865413028.15,761508986786.767,808029031833.027,753554689669.038
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Canada,CAN,-756426909.082676,-2351322579.60475,2962324151.88571,-1229978110.06882,962554678.562879,1079642881.10374,2170895576.05244,3471751714.69391,11546289244.7879,11369485481.8881,-7526468527.15749,-21653038993.6265,8440763882.98875,4749229277.95075,16417567996.3288,43370579702.622,1727389338.84794,-13950022417.3474,-55310207533.9084,18568974469.1936,16787996095.9599,6626667134.17278,11756393310.4902,12879466785.8116,-12563236012.7314,805191688.44975,23927632715.3373,33404095512.7527,52829985894.7131,20156533320.4923,26965431145.1468,18306166114.2054,44529088999.5606,37342988263.1283,35229170707.4981
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Brazil,BRA,-608000000,-324000000,-89000000,-1924000000,-801000000,-2035000000,-3475000000,-11667000000,-17877370310.6468,-26001596916.42,-26888017614.9902,-30497652699.75,-24714939372.251,-14108096193.1141,-9894224670.99009,-8338896459.75335,-12549590734.979,9380283047.0622,-27518241273.2648,-24601090273.6125,-36032805800,-55626921872.6,-86360111204.54,-90485123670.43,-59567525424.58,-67107129352.1,-61604176364.71,-59601145882.35,-47544978339.99,-76159270430.66,-46354807251.49,-41737369809.01,-30201173400.34,-41251769571.23,-39079031684.51
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,China,CHN,-2613000000,-2657000000,-3453000000,-7156000000,-23115000000,-31787000000,-33849200000,-38066000000,-41674000000,-41117000000,-36978000000,-37483300000,-37357000000,-46789569178.7806,-49444853743.8231,-60144670467.5079,-90379127564.2216,-100149837150.968,-139094535501.613,-114792373681.872,-87167067369.5,-185749835191.821,-231651578090.287,-176250481637.42,-217957551783.694,-144967626758.575,-68098649764.7788,41674876169.524,-27790987919.5091,-92338473352.4803,-50259822364.755,-99374807720.47,-165277237079.6,19846371666.52,142573770573.99
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,France,FRA,9193689820.03884,21640172226.7156,8778998288.97929,9429508955.84586,-149530697.079622,8641023244.7181,-7915340633.12256,8389214529.86985,12439587260.4557,16182755399.4058,79455181689.7442,132207098895.585,37230890648.6579,1451944337.96749,10242909367.5663,25513610482.5624,33660365152.6492,51482577203.1678,48449400448.7044,68001785591.4721,70295520050.0789,33671093773.6308,20277561650.9937,19070158223.0146,-1085074995.30347,56550380550.4435,36130892033.2982,37198001295.6237,4974372564.0405,62417644380.3536,31184687760.5865,9367666365.97017,20202234021.4434,-21135660317.7474,30513104655.7174
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Germany,DEU,8162668022.83404,21480192634.5027,18554684780.402,21230560030.2816,17161604969.5758,12338680052.9625,27779643541.0265,44975759355.3385,30890962867.5239,67478178460.424,53364279142.9306,-149835377773.513,13294434782.6287,-34067396991.4993,-26100676287.2323,29478097771.3562,29088956904.3782,60529918995.1478,89805058431.6749,67071495031.3568,43037329587.0515,60605522285.2803,10373148758.4484,33639173474.0941,26093621454.5202,88131616218.3504,56842205697.6296,58421887790.0001,40199657620.2228,50675924607.2172,95880604151.0811,-31910918320.7417,96711985272.4385,117097111868.007,72407214132.322
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,India,IND,..,..,-73537638.3885329,-276512438.973893,-550019384.367517,-890688166.019256,-2026439031.09277,-2186732315.37831,-3464411051.97412,-2587058630.28267,-2089233597.0623,-3074684332.47754,-4073961343.30435,-3947895991.54349,-2444138426.15878,-3592188066.40631,-4628652265.34265,-5992285935.49798,-8201628957.6202,-24149749829.7088,-19485789182.6878,-11428785745.7844,-23890659988.138,-15442447342.912,-26388082470.2872,-22890162761.0214,-36495216490.7242,-39411278940.2538,-28875941053.3143,-30699661201.0258,-37469945322.0152,-53239697390.8242,-27488543123.438,-35408008686.0269,-14200416753.5791
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Israel,ISR,-51000000,48400000,-14600000,-9000000,10500000,300000000,-530100000,-582000000,-711100000,-613100000,-3320800000,-4712200000,-1084000000,-601700000,-1236300000,1594000000,-1873100000,1042400000,-193600000,-3065000000,-2855800000,958700000,-1252100000,-6741700000,-7984000000,-1523400000,-367800000,2590400000,-9268600000,-15427900000,-8673400000,-16389800000,-8580700000,-12784400000,-5382600000
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Italy,ITA,-50705837.9363787,1005044782.63723,5209240507.89156,1170141467.79439,3487994303.03635,3038264199.92199,2157553236.26946,5158060151.91964,6714677948.90125,9814894092.50167,-6679306475.60436,-6680942868.07591,1491397212.77082,-5733738820.62911,-17427335596.6755,-5785237059.70434,15534668074.9026,1965501866.07261,54017799728.5608,77206581818.6664,1760503505.25074,20798672662.4822,17407273694.7305,6761814775.11469,742935955.516196,3443516886.53276,2120880782.65147,-11998104744.4285,3077060053.39222,-5593749247.93934,1681603982.41339,21788625430.1752,29959682048.1237,-15930452555.5196,-11443288159.7398
