Series Name,Series Code,Country Name,Country Code,1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,20794.682233334,21525.8611387148,21846.7930471354,20950.3305287651,20186.7988782965,19997.6237373354,20679.634792669,21296.9723536904,21901.5628548392,21024.5850687045,22315.2466731545,24271.0020563821,23822.096210932,24256.0192337185,28301.8645937428,32145.5412620217,36383.6600068095,40504.0370977806,44660.0838892281,46710.2526864484,40874.8831932903,47560.6666009406,52223.8588398531,52670.3447335415,52638.1187235237,50960.8431174661,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52496.8441693242,55509.393176404,53431.1857063879
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,2818.99277980122,3117.73534721624,2257.6092968885,2127.31642731638,2348.88247685352,3298.71250747787,4756.74840785403,5179.13052002464,5299.39630404412,5105.89099544117,3493.57162513699,3766.54811466032,3176.28935747524,2855.94018885769,3090.6070097455,3663.823188064,4827.78173052472,5934.1447107274,7409.69130727951,8908.33176567294,8678.65922498836,11403.2821284616,13396.6243566047,12521.7213530369,12458.891214816,12274.9939689363,8936.19661756825,8836.28652636996,10080.5092817775,9300.66164936497,9029.83326742175,7074.19378281866,7972.53665048385,9281.33334441234,10294.866680778
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,310.8819124049,317.884673040928,333.142145400184,366.460692306116,377.3898394789,473.489916407064,609.604337927454,709.415888233368,781.74256121344,828.594691043134,873.292336318005,959.360431369138,1053.11231442789,1148.51425710711,1288.63749134336,1508.66791560781,1753.41419160544,2099.2194300499,2693.95873160283,3468.32706307504,3832.2274569094,4550.47394356715,5614.38602225277,6300.58217951734,7020.3860742288,7636.07434020616,8016.44559489998,8094.39016735149,8817.04560829162,9905.40638304527,10143.8602206165,10408.7195541075,12617.5051041181,12662.5826712038,12614.0617416421
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,17547.2645422514,21586.4674617483,21500.7778366233,23615.0168565483,22238.8250618434,23359.8985104774,26791.8151982369,26757.6351494145,24169.4008102822,24869.4030795939,24576.3152254528,22340.5939516217,22331.7948343036,24144.5727019529,29479.5222101175,33644.9282220364,34696.3718316971,36431.5658906555,41486.1907828787,45464.8181385158,41728.0884164132,40694.8211697025,43929.7840873812,40863.5814412333,42669.1795111893,43148.0459288416,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,17829.4609524705,22385.6778250275,23443.3350818536,26559.8543879632,25616.6508772405,27201.9593555204,31747.2449398447,30599.7891048363,27046.9565464237,27395.9440608051,26965.4922773722,23925.8559901991,23878.3641471651,25486.5942008748,30711.1022511331,34566.7359143735,35084.4363546269,36980.3349948954,42350.9217211489,46386.3295924799,42487.2137101496,42409.9356994694,47646.582043143,44735.5882319701,47220.0102098851,48971.0824722599,41911.0109851054,42961.0356905775,45526.5999576533,48874.8595028454,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,54343.2265084958
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,349.915155021864,371.085936203765,305.574055928592,319.182472626315,302.884806246174,347.73421473994,375.17600537305,401.046754673579,416.228116203753,413.630864056851,441.927991436397,442.750218937263,450.357900514128,469.149928973927,544.143133545002,624.258826510066,710.488080408949,801.668353659022,1021.88707706826,992.519584923828,1094.94974598436,1347.51939071367,1445.46127486037,1429.32199520032,1432.84397512195,1553.88396075118,1583.99815907985,1707.50892912243,1950.10468280866,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482,2352.61392452078,2480.79208721621
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,11586.8023266158,13284.3794576924,14320.2831935277,15482.1005731603,15151.5446328935,16776.6124890797,18991.4711694457,20180.3770456889,20432.8376406454,20157.0966336239,19782.2869743593,21660.840378309,20907.1143041538,19034.3175740071,19629.4145135202,20546.2291718399,21226.7213913393,22502.0722209991,25635.926838502,30176.2865128483,28381.6449423376,31338.5568903917,34433.822610733,33236.5731239421,36929.6042163752,38230.4954049785,36123.9907881129,37556.6272863143,40997.9110240274,42233.2610344935,44140.8289372511,44679.7715799755,52255.6159050999,54930.7261602593,52642.4267486308
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,16424.4301587005,20873.7834092719,22007.1350964074,23297.0460325456,18781.9529427137,19382.2002150155,20712.1798690324,23122.9337219116,21883.9872666651,22365.1837644545,22049.9990620261,20190.0035636084,20571.4787737914,22463.5222129968,27618.9417740066,31425.8208728669,32171.793374715,33684.7200358552,38031.9709472716,41095.4063415012,37388.4537139699,36184.7118698678,38851.3881339353,35235.7989058242,35747.707952689,35750.7197500382,30387.1293187854,31126.3246947273,32554.14668453,34746.3441392416,33812.788724868,32091.4866621366,36852.5425414951,35635.7442204098,39003.3160954123
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,25265.9487590208,25801.3950393094,29428.4289039469,31992.7902119161,36345.2441262708,39933.5150564874,44197.6191013908,39150.0396308089,35638.2319556941,32423.7556133801,36610.1683163197,39169.3595701504,34406.1824638092,32820.7936433254,35387.0374203599,38298.9801712303,37812.8950199948,35991.546002862,35779.0245416427,39876.3039685725,41308.9968370512,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,40040.7655055923,40058.5373276179,34017.2718075024,33766.5268253808
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,1948.59179454794,2689.52621921233,2649.27259974439,2743.65320297936,3057.93737480422,2176.2801813809,2774.61627202847,2929.15394930619,3020.99347061272,4329.56243985573,3969.47359406585,4192.44316738494,3045.55413956926,3583.19745897158,4637.88218501529,5960.77898909049,7303.01388860245,7953.07848024969,9711.22376120832,10843.5036940489,9012.99945793034,10622.7020439723,11300.7852215681,11713.2849831139,12578.1878632,12165.220135038,11049.9951100942,10970.0458948862,10695.550196231,9568.83506330228,9215.44049888114,8638.73903848102,9743.21277804855,10674.504157865,13105.6585678319
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,23166.7305903787,26709.993440327,25690.9686321448,25648.2727760844,25032.7822702907,25472.6396578979,27003.2006807782,28323.1650870532,27982.7957040564,24889.4269192279,25855.8605046587,29865.502347066,27745.1708087672,27753.6089526346,29659.5428567811,33376.7152295209,38719.3138307623,44342.6048322482,45854.7325158162,50054.1700681803,37803.0663738777,43696.6712597922,50789.0505418347,52034.4762466073,52023.5170958751,51381.4069909213,43534.9972681733,41326.4018161834,42340.5917145576,45689.8570040215,44251.4541390148,37173.8754100281,43360.0211014806,49899.0652978649,49040.6947525825
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,16239.2821960944,19095.4669984608,19900.7266505069,20487.1707852878,18389.0195675099,19709.2380983653,23168.9529580171,24406.400298359,26766.0056249684,28274.5045119699,28762.0913570256,28280.926786099,27906.5695029641,30077.741432188,34442.6875402308,40366.8886650968,42104.7884375024,44512.4590296865,50397.6854954706,47396.1202078484,38744.131693043,39598.957119545,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40201.6812422928,46896.8662432834,45935.9276473925,49463.8554617343
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,22857.1544330056,23888.6000088133,24342.2589048189,25418.9907763319,26387.2937338171,27694.853416234,28690.8757013347,29967.7127181749,31459.1299691554,32853.6725949234,34515.3813073394,36329.9702595751,37133.6203973517,37997.7424300242,39490.3023903176,41724.6411982614,44123.3996470026,46301.9876485519,48050.227412195,48570.0594269601,47194.9500893872,48650.6643227232,50065.9789470675,51784.4114692048,53409.7507774372,55304.3155317137,57040.2082136605,58206.6141931844,60322.2614241747,63201.0458483771,65604.6815198734,64411.3731779373,71318.3073592183,78035.1753604212,82769.4122114216
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,5817.06556721983,6609.99728316175,7636.9480638849,8126.66206183629,8884.91946408987,10385.3904572997,12564.7243743092,13402.994604707,12398.4904543462,8281.71948271445,10672.4475586765,12257.0206622345,11561.2071745115,13165.08362497,14672.8057539465,16496.1316167114,19402.5026259549,21743.4774514254,24086.4104391677,21350.427979823,19143.8516053025,23079.2601257735,25097.595426845,25459.1689000965,27179.5170146052,29252.9312377352,28737.4391706499,29280.4403170048,31600.7358741365,33447.1562836166,31902.4169048194,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Canada,CAN,141918074324.324,148543023654.439,152336562800.035,157743857036.485,168552050228.664,183320152314.001,199747158262.897,209119911991.199,237129134768.164,241249747219.414,259518745372.552,287155747087.738,268281895661.157,271159115529.217,295296552708.586,337418139892.391,385981185014.029,430736071932.299,470813704496.788,506718837863.168,411817863703.963,502035342676.986,570642753938.112,589511490951.583,589048627265.353,589434433378.268,534115083556.223,517396012626.09,554922650425.45,591347645767.306,589706748631.384,524572641557.224,626488133458.384,728719235183.076,724652002690.122
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Brazil,BRA,22554535409.3862,32355627483.2134,27109659090.9091,27519098822.3246,33500023512.8145,48132687111.4695,72744940267.0032,75733720724.306,84722079941.224,81258638865.2644,68462738259.9027,81614535020.0582,81559232850.0804,68250204101.3395,72344866164.6317,87894373254.5582,105595891948.291,129231037310.712,167163857933.354,232731840904.542,187613855712.734,262997327803.632,323144804340.432,326315660071.406,347276016899.117,335826230156.841,253272712377.634,216686387069.85,243510584262.84,272994464677.427,276634813667.029,233941246230.247,309853308958.678,374482483050.831,342214686307.41
Imports of goods and services (current US$),NE.IMP.GNFS.CD,China,CHN,46118793490.081,38461758920.0765,43941659163.7631,61849400125.5887,86072328749.7039,97250445198.3311,119900826003.539,137261876999.221,144623819995.061,144913704695.688,168058444272.642,224306238156.073,243973790223.785,295619639657.425,412137124710.207,556182551580.013,648712207875.287,782812463256.126,950020767155.498,1149036249792.23,1042533759648.07,1432422435977.06,1825413639206.37,1943205232867.15,2119392421427.69,2241276198979.27,2003260696068.67,1944490534275.23,2208518918632.2,2564121910994.89,2496153305902.9,2374737462777.69,3093278397249.18,3140040863536.23,3127201616050.71
Imports of goods and services (current US$),NE.IMP.GNFS.CD,France,FRA,235996092946.741,284198409830.141,283762818276.945,299027013630.731,261684618948.344,291034380907.372,346832698120.647,351587382997.82,335869521240.728,361782299310.652,363754404231.893,381449581352.471,376341467532.402,394028136001.569,467250572392.979,553011604110.426,606331902819.611,670822254333.176,777995714258.042,877476980121.484,710610400819.062,761083995458.335,891743744380.352,839869181339.766,879403265969.571,900072034980.075,776983112152.851,786690099965.255,856501561408.354,942517078079.137,913209092423.528,801836174373.076,964103785591.845,1098568561003.12,1107189988383.75
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Germany,DEU,320659348798.502,408062314489.771,451492044784.915,483833437695.679,413095942269.017,453912257442.449,547772621809.745,541957369378.737,525385743288.969,550595754140.269,564301984739.383,580553292712.158,570228511976.772,570622539400.393,700765174545.097,826352918672.203,896950519582.879,1029339915529.41,1193186147672.55,1339125795807.81,1067378170076.17,1192329684250,1406669611896.89,1317969624114.84,1366940257620,1393837781387.05,1204648073431.64,1215609853746.31,1326138381464.71,1483856351069.02,1454172759796.08,1332716704314.4,1630569552864.31,1802154794791.84,1782980609876.5
Imports of goods and services (current US$),NE.IMP.GNFS.CD,India,IND,24133353522.4812,27132072318.021,22941358805.152,27639649994.19,27419354118.7633,33349501147.7089,43318425767.7707,45357266003.2021,49607467421.0891,53431564328.4224,61314704757.0345,65124245375.0531,65218276482.1322,78498759285.7313,95071869378.5573,139310848797.436,183736617243.328,229955027127.372,302803952552.5,350926955799.106,347177967968.316,449974370198.802,566667744819.908,571306554042.386,527555307105.956,529239428328.665,465097595426.184,480169055768.282,582018012521.568,640300806738.542,602315056052.526,510244747372.174,760902891806.013,897550749081.828,858839501091.307
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Israel,ISR,17498694948.8624,20435030750.9176,22534066078.7153,24174229596.1937,27078712766.3333,30559295274.1523,35385049646.3322,37635429394.9933,37372876442.2798,36163785163.5483,41207816991.5694,47200353174.8951,44056161875.5499,43363164337.8783,44932258843.6793,52895805443.9982,58276845600.1961,62604470577.674,74068304082.1791,84526755852.8428,63709279556.4937,76948094063.2125,93102560441.5393,92906238306.0976,93510223014.0945,95211297609.6481,85080552377.6854,90475538679.1879,97865944639.5186,109319813000.482,109553204402.06,96895086559.1227,126028374221.792,151074943827.189,138285723513.418
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Italy,ITA,172137694044.595,213356119909.502,209893731855.783,230163868028.28,184878139534.884,204277773775.216,246820753595.626,251644873886.309,253824124602.092,267089327534.292,268274689595.985,284121969413.177,284831774435.394,301961782874.981,360433739169.137,423101431530.04,458978118688.871,526275457690.588,613038536211.257,664125662011.484,505183498247.5,573630177653.334,643858645924.126,564328520572.5,556753988253.021,561398127135.449,485192095144.804,483730717980.818,540827068435.177,597530269520.862,560326098494.117,480945200912.997,634811260435.649,776766269322.766,748044559365.503
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Japan,JPN,267623386902.708,295830930469.465,297072083274.254,298544112851.585,308939565351.113,348440138619.557,420000722945.877,440058798059.554,422282171634.396,353663297055.199,385717972939.28,452064900176.773,414845357770.868,401205059495.326,445643407643.175,532277504089.913,599781161368.994,660752902210.073,711118565477.884,862718956651.3,633184104751.411,782080174983.161,961182364174.189,1007099152148.38,948362884511.706,980024678767.845,799671850411.581,763174802438.923,829947425329.105,922228472388.616,908591904960.75,798645128766.751,938755726387.128,1076957434698.96,981837994996.069
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Turkiye,TUR,19048020735.1555,26482062092.7558,25124448705.6568,27596929569.2666,34898334091.9436,26631422878.1789,41231056821.8999,50495478164.7319,57701398610.6081,54441094030.469,48340913551.8873,61642883853.4977,45776842136.1828,54962440934.538,73045693374.2425,103038524359.592,122862782500.225,146890048114.989,176879760094.74,207882299722.94,152043222792.846,198129231745.837,254239800352.845,250693618990.19,275216770005.589,268166855331.083,229538119984.162,219548635276.238,255314971383.993,244453305856.842,229207956545.671,232114423840.408,289730104250.561,386304799043.559,384240318096.721
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,42053369639.2104,47845064669.8434,57668073519.401,78428046289.9932,93862491490.8101,112930428863.172,166134240980.259,219714363512.594,187139823008.85,178610755616.065,215973042886.317,239748672566.372,252509462219.197,275110959836.624,268999319264.806,270714771953.71,285336963921.035,281535738597.685,306004084411.164,297228174693.051,347528931245.745,427991831177.672,481851599727.706
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United Kingdom,GBR,241238426047.12,272323540482.955,259552895943.563,275735375570.376,264364892021.596,294236152433.425,338952185576.771,367441497659.906,393418467583.497,411883073865.518,427461575796.797,447394462097.14,449981286886.426,479812649880.096,537910204081.633,638784328084.951,697065454545.454,796344066237.351,848431372549.02,855172794117.647,678558965570.961,755985189200.566,857154298140.55,855641065409.249,883068333064.174,935305726198.978,859564412420.216,828192624115.954,863846532337.868,946466621329.184,941829862195.151,785068374771.382,924270940181.382,1099672270617.25,1089182875638.53
Imports of goods and services (current US$),NE.IMP.GNFS.CD,United States,USA,591030000000,629728000000,623544000000,667791000000,719973000000,813424000000,902572000000,963966000000,1055774000000,1115690000000,1252460000000,1477184000000,1403559000000,1437724000000,1557120000000,1810504000000,2041482000000,2256623000000,2395228000000,2576151000000,2001927000000,2389555000000,2695480000000,2769317000000,2766375000000,2887445000000,2794942000000,2738830000000,2931589000000,3131166000000,3116681000000,2777341000000,3415459000000,3976314000000,3849811000000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Korea, Rep.",KOR,63102887785.0188,72983629293.485,86128609498.3141,87768564382.4358,91279887096.9269,114027977991.795,151502457040.844,169943736945.327,166240403023.602,111015931008.514,135184170949.146,185276192960.39,166684972965.805,179268961271.559,209245744134.301,263821125150.089,308907471189.563,368894013922.426,427797123573.848,501407971186.702,386527844126.146,506599450045.829,654575349793.225,656459355451.117,639537800832.433,635109038410.395,529869468434.793,501960211670.296,587337161918.895,643142886151.538,602460189255.229,537270248786.333,696863687514.079,807909863148.844,752669851512.163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
