Country Name,Year,Tariff_Rate,GDP_growth_pct,FDI_pct_gdp,inflation,pop_growth,TB_bil
Brazil,2003,9.53,1.14082899824888,1.81340052439306,14.7149197228147,1.18021395482771,17.461618605616103
Brazil,2004,7.67,5.75996463670954,2.71353166307823,6.59718509985963,1.12991417032023,25.82951095706489
Brazil,2005,7.17,3.20213206130431,1.73389354610707,6.86953720898964,1.09590612526605,33.6742292164115
Brazil,2006,6.7,3.96198871122617,1.75312570318945,4.18356812896909,1.05833842529955,33.452513822936005
Brazil,2007,6.77,6.06987060678338,3.19082601285064,3.64127299102652,1.01236820635667,22.21725417570102
Brazil,2008,6.74,5.09419544658736,2.99060946913286,5.67859390284168,0.957984635895359,1.9800845118680117
Brazil,2009,7.59,-0.125812002161169,1.88848224084392,4.88803479876799,0.895632239477021,2.316649166288025
Brazil,2010,7.76,7.52822581815364,3.73001288331747,5.03872690108075,0.84088322514573,-19.368906955830017
Brazil,2011,7.84,3.97442307944702,3.91518011396487,6.6364496221309,0.81381388423754,-16.82970857457495
Brazil,2012,7.76,1.92117598576537,3.75496285610022,5.40349914036997,0.811598483382088,-31.63963580495001
Brazil,2013,10.08,3.00482266944432,3.04150901601519,6.20431066640101,0.810511647523289,-54.583362068380005
Brazil,2014,7.79,0.503955740242247,3.57135266957477,6.32904015516139,0.806314177734439,-63.79150750157498
Brazil,2015,8.27,-3.54576339269425,3.59214931773371,9.02990102416136,0.791721773592796,-28.22492693844501
Brazil,2016,8.01,-3.27591690782192,4.13737803912088,8.73914352329393,0.761972670496742,7.888268360799988
Brazil,2017,8.59,1.32286905404399,3.33825981744108,3.44637335032669,0.72824666001736,15.770565742070008
Brazil,2018,7.95,1.783666761634,4.07858821449124,3.66485028376729,0.683439571425594,5.020740727415008
Brazil,2019,7.97,1.22077782360842,3.69267321290613,3.73297621216894,0.651994346081362,-8.913681707434998
Brazil,2020,8.41,-3.2767587964736,2.59263795330717,3.21176803803376,0.579350709708032,11.006501378434995
Brazil,2021,7.76,4.76260437908608,2.77979084916568,8.30165975585673,0.425360907216456,15.35511939101001
Brazil,2022,7.26,3.01669435393015,3.8221961533297,9.28010608956873,0.360180890872169,10.63164881877002
Canada,1989,7.02,2.33732974637616,1.2643683536102,4.98362189985958,1.79419351491939,0.3635640388450012
Canada,1993,3.59,2.65770688317689,0.721601695039317,1.86507936507939,1.09893087887878,0.0632069505339965
Canada,1995,6.69,2.68232830305229,2.25387303530621,2.14876033057849,1.03476948386834,18.904083589169005
Canada,1996,5.43,1.68896120754063,1.39828193256897,1.57053112507138,1.04531178311831,24.629288042450987
Canada,1997,1.99,4.28016686255228,2.31796973451973,1.62121638084531,0.993788591465188,12.429974698068024
Canada,1998,1.44,3.89288652990767,3.93993821737617,0.99594245665802,0.829909353323744,12.048309635264983
Canada,1999,1.01,5.14100348008584,4.04710363964717,1.73484295105918,0.812842623716166,24.096639864594025
Canada,2000,1.31,5.13853918593026,9.17102428671511,2.71943995691976,0.931281553452429,41.604373750772034
Canada,2001,1.6,1.87509813216803,3.84192129292478,2.52512013979906,1.0861994547665,41.819090368646
Canada,2002,1.49,2.9992553495694,3.21914767807145,2.25839440940855,1.08479328329522,32.83990142596704
Canada,2003,2.46,1.80638513484521,0.782967555453216,2.75856321360112,0.899226809998674,34.073822805146975
Canada,2004,1.51,3.09236383456562,0.141465896048034,1.85725871857256,0.932186964148048,44.84675926268298
Canada,2005,1.46,3.21045435651203,2.17816380917594,2.21355203439767,0.94708626967041,45.67811061290301
Canada,2006,1.45,2.6379438004107,4.87410128955105,2.00202539534161,1.01355939144957,35.20436038228003
Canada,2007,1.54,2.04990461109004,8.20055904886214,2.13838399266837,0.970654173316653,30.61167162508496
Canada,2008,1.54,0.995406309993598,4.5151371416977,2.37027067444299,1.083871149194,28.14424747881
Canada,2009,1.7,-2.91508623949733,1.52413118076926,0.299466803009299,1.14470768476526,-20.294599835754028
Canada,2010,1.46,3.09080637403602,1.83725638740881,1.77687154092627,1.11135202971694,-30.874997989832032
Canada,2011,1.38,3.13719438973661,2.13783310760835,2.91213508872351,0.97540725097113,-21.68266482168103
Canada,2012,1.4,1.75566132540601,2.70016900895675,1.51567823124517,1.08374652233653,-34.51833488252197
Canada,2013,1.45,2.32581357393478,3.62980398357006,0.938291897815317,1.05338098055318,-28.982082930359987
Canada,2014,1.43,2.87346677184995,3.55390337011002,1.90663590717861,1.00142284689661,-16.32099899860596
Canada,2015,1.65,0.649970993709132,3.85389453706153,1.12524136094277,0.760300145238936,-38.58377587152301
Canada,2016,1.56,1.03855093491798,2.23835012140903,1.42875954701085,1.13153974027004,-36.24167690868298
Canada,2017,1.52,3.03383490260789,1.53752071953934,1.59688412852977,1.19543575451553,-36.23767359517096
Canada,2018,1.47,2.74296343112555,2.46931207254863,2.26822567248103,1.43322615679352,-33.73277427158899
Canada,2019,1.51,1.9084319253883,2.80676687017653,1.94926902411593,1.46171259938134,-25.53810277571301
Canada,2020,1.49,-5.03823344128351,1.75897085668576,0.716999632307827,1.08436897113225,-36.49924417099597
Canada,2021,2.35,5.28695689105889,2.99828264957505,3.39519318527528,0.553902422386893,2.02731025248999
Canada,2022,1.37,3.81986633913397,2.32386339338111,6.80280115341613,1.81192255344382,12.724832765503052
Chile,1992,10.95,11.166707732399,2.0372317186218,15.4258064688928,1.61244609996212,0.546
Chile,1993,10.94,6.5887838266316,2.09850884627409,12.7277669490964,1.55575470326431,-1.2157
Chile,1994,10.93,5.03019797856734,4.53011117182511,11.4431196444973,1.50594720365816,0.581
Chile,1995,10.63,8.93329586928566,4.02615123858593,8.23263034116114,1.46395387384967,1.0569
Chile,1996,10.97,6.80291659568033,6.12670509977734,7.35911781788767,1.41256567140629,-1.0726251331072003
Chile,1997,10.97,7.39173926780252,6.14802074639582,6.13386464357927,1.33747554386278,-1.5633808083970986
Chile,1998,10.94,4.18088662724911,5.64436806175839,5.11024954517559,1.29984189219994,-2.4920773231436004
Chile,1999,9.96,-0.273631397756063,11.5919139537542,3.33687917526023,1.25802753178631,1.6899734273837013
Chile,2000,9.0,4.9716214885003,6.20376708215846,3.84327295706565,1.19601925947085,1.4000546775485991
Chile,2001,8.0,3.154034924374,5.8676609577396,3.56910053001467,1.15569441781061,0.9992865511352996
Chile,2002,6.96,3.20279913985533,3.62905823074864,2.48939816650705,1.10379186272101,1.6841008830323982
Chile,2003,5.77,4.72324526681116,4.556949756395,2.8101787574361,1.04651515030085,3.4766801800182
Chile,2004,3.95,6.67425416745972,5.01507138066679,1.05473871403517,1.00938163923532,9.4590766254275
Chile,2005,3.99,5.83704571525745,4.89870698305,3.05257621387849,0.992481122862039,10.240622954473295
Chile,2006,2.36,6.04999082904382,3.09101971918484,3.39201733699405,0.976434392610197,21.620045741332696
Chile,2007,2.95,5.16823098722429,6.11348994449279,4.40779938398044,0.978803488234499,22.85556796825019
Chile,2008,2.27,3.7893928023371,10.4571112912905,8.71626873039607,0.999137869915681,4.338523547953003
Chile,2009,1.92,-1.1180372326977,7.42256247901114,0.353045178360937,1.00886800592722,13.216148168532998
Chile,2010,2.08,5.85165101730949,6.84144686822969,1.41071107954321,1.00455362363927,13.346978494572998
Chile,2011,1.98,6.22389678693851,10.4897738062099,3.34121694259302,0.986604121119825,7.340657002242599
Chile,2012,1.78,6.15534002096459,11.9097449984476,3.00744840213047,0.959562935237505,-1.2471857658424987
Chile,2013,5.89,3.30850824469113,7.61396398988729,1.7895555398459,0.95374468290385,-2.5653128207686007
Chile,2015,0.64,2.15194249853634,7.32780348720507,4.34877353217044,1.0215666887643,-1.995119986586609
Chile,2016,5.89,1.75303874553305,4.55707488144666,3.78619355893118,1.2094154366484,-0.5279473706511993
Chile,2017,0.49,1.35769537797211,1.89647029832423,2.18271846868519,1.58394825779579,1.879849955367905
Chile,2018,0.49,3.99002947521676,2.68461345207245,2.43488981353057,1.78538584857741,-2.9329059949604037
Chile,2019,0.43,0.634367533828438,4.87956164130548,2.55754475703327,1.59911795256016,-5.068925698041
Chile,2020,0.43,-6.14347479224092,4.50610139661101,3.04549084804326,0.896491953505063,11.444340118768205
Chile,2021,0.43,11.3339570691911,4.81019970676228,4.52456838259144,0.441498091207504,-2.188473339125
Chile,2022,0.46,2.05874008095333,6.03627962411555,11.643866711056,0.495789591494285,-11.869384984694
China,1992,32.17,14.2245295924965,2.61316219284371,6.35398134024869,1.2255362283362,4.998
China,1993,30.29,13.8837293017729,6.18688207614214,14.6100786356602,1.14961943083465,-11.497
China,1994,27.93,13.0368066326745,5.98718616500824,24.2569897243361,1.13026063215591,7.611
China,1996,19.76,9.92255675282291,4.65181266315599,8.31316028893909,1.04814151412165,17.551
China,1997,15.82,9.23677989187537,4.72534384272724,2.78646505531882,1.02345002419879,42.824
China,1998,15.5,7.84595178729862,4.43550102416557,-0.773186011549318,0.959550406298151,43.837
China,1999,14.46,7.6616515004031,3.74898123668431,-1.40147268276465,0.865851392993279,30.641
China,2000,14.67,8.49009340597647,3.47512590256774,0.347811226864587,0.787956592953992,28.873534
China,2001,14.11,8.33573347817196,3.5129885385098,0.719125609120114,0.726380637838525,28.084
China,2002,7.72,9.13363078966614,3.60908113491298,-0.731970902350244,0.669999567758626,37.383087664019016
China,2003,6.48,10.0380304810393,3.48741889929233,1.12760348729637,0.622860936133583,35.82112906629297
China,2004,5.96,10.1136213776263,3.48364153462976,3.82463743108159,0.593932815112141,51.17438253995008
China,2005,4.87,11.3945918098927,4.55426348223621,1.77641407667571,0.588124989556992,124.62679751720898
China,2006,4.25,12.7209556654032,4.508600502911,1.6494309945586,0.558374367373002,208.9189245005919
China,2007,5.07,14.2308609331955,4.40098334219288,4.81676767378834,0.522271866392275,308.0360287833579
China,2008,4.47,9.65067891939361,3.73361071056151,5.92525137041092,0.51238693163744,348.8325331539402
China,2009,3.94,9.39872563259674,2.56889430733347,-0.728165250932898,0.497381400884935,220.13040136678003
China,2010,4.65,10.6358710644913,4.00354456866117,3.17532475269199,0.482959688678361,223.0238717128001
China,2011,5.99,9.55083217877568,3.70880651655626,5.55389892257493,0.546457594880274,181.90373891267996
China,2014,4.74,7.42576365632412,2.55924761041391,1.92164162788521,0.630326389541893,221.29924694727
China,2015,4.52,7.04132887873656,2.19217773086009,1.43702380935655,0.581456146657648,357.87076428128
China,2016,3.54,6.84876220495761,1.55563699883085,2.00000182191943,0.573050906069647,255.73708824214012
China,2017,3.83,6.94720079331685,1.34912369633213,1.59313600071436,0.605245013482969,217.0098999339502
China,2018,3.39,6.7497738324959,1.69389428446517,2.07479039965576,0.467672053461959,87.90514845187012
China,2019,2.53,5.95050075367413,1.31071593247948,2.89923416358227,0.354740890170827,131.84429731204003
China,2020,2.47,2.23863835634639,1.72317554862906,2.41942189457782,0.238040870229883,358.57260816002
China,2021,2.31,8.44846941687277,1.93078622294539,0.981015135544882,0.0892522000412526,461.4942927593501
China,2022,2.18,2.95066992959268,1.06367352996528,1.97357555739051,-0.0130995013525784,577.6089397326001
Denmark,2000,2.41,3.72400897562952,21.953462505758,2.90328203236453,0.334233618829261,9.299701472771408
Denmark,2001,3.37,0.950032280359281,5.63216582111414,2.33787000255262,0.358315678955486,10.431353547012398
Denmark,2002,2.45,0.456529990797932,2.47818532882922,2.42443661219697,0.319487125340996,10.023718626993013
Denmark,2003,2.52,0.441090994656861,0.542449723524164,2.07507820646507,0.272010444031566,13.1155650220941
Denmark,2004,2.24,2.77635184668432,-3.49390841296769,1.15435693124932,0.258432282052875,12.4298979198376
Denmark,2005,2.46,2.35960883273722,4.8451921902896,1.81781458291254,0.275481733409308,14.563595605561003
Denmark,2006,2.3,3.81648769723503,0.841695783435796,1.92422138464594,0.328645158919929,11.59996026883702
Denmark,2007,2.24,0.987173788437161,3.68799602330786,1.69326586220315,0.443466054321374,9.400458991675997
Denmark,2008,1.72,-0.417178429513314,0.617279543987987,3.41626794258373,0.587547590258978,12.52486583948401
Denmark,2009,1.85,-4.97447907474,1.17142791849018,1.30470991024337,0.535079062079429,14.981861358354005
Denmark,2010,2.13,1.58289702078196,-3.56794135328118,2.31092436974789,0.444197154509531,21.86452964509201
Denmark,2011,1.59,1.31080377939614,3.93792637361734,2.7586822605125,0.411737855195019,21.187880089966004
Denmark,2012,1.46,-0.0054323186932663,-5.00312031968255,2.3979148566464,0.376272242619955,18.90012246130899
Denmark,2013,1.49,1.39267347017295,0.197410828523168,0.789071780078062,0.416901360752097,21.479964404703978
Denmark,2014,2.03,1.27799979380644,1.86415567840611,0.56402054044954,0.507053283010163,22.723676469125
Denmark,2015,2.02,2.10441458712587,0.61075067778712,0.452034153691575,0.706423849687002,19.627489413425995
Denmark,2016,2.09,3.07304547479855,2.49983169836595,0.250000000000031,0.780392644135167,18.830573676958984
Denmark,2017,1.96,3.05647724393516,1.08780490285887,1.14713216957602,0.643350903737356,21.51174473671597
Denmark,2018,1.83,1.86000748885226,2.46670057625106,0.813609467455631,0.495838925879129,18.190345911626984
Denmark,2019,1.84,1.7114009439059,-1.10067098319484,0.75813157251162,0.358130915892652,20.729495551177003
Denmark,2020,1.48,-1.7801059882175,0.36387453868222,0.420711974110115,0.291641177476633,19.98961394732599
Denmark,2021,1.39,7.38206628977555,4.16214345185472,1.8530454398968,0.433414489409722,25.46800236969101
Denmark,2022,1.33,1.54017310709567,7.66793351091879,7.6965669988926,0.787502464739957,38.30018403610599
Ethiopia,1995,18.15,6.12751141376545,0.180008028148242,10.0221733553239,3.40438831875411,-0.6780682267536909
Ethiopia,2001,12.11,8.30130632052328,4.24475958430851,-8.23784453391137,3.03351132311934,-1.171640698839034
Ethiopia,2002,13.48,1.51472570631101,3.2480726995032,0.675089102170801,3.04403477269573,-0.96976853952731
Ethiopia,2006,12.03,10.834727065877,3.56823527416241,12.2994763114825,2.93729031507005,-3.0776313523468297
Ethiopia,2008,10.05,10.7885216853725,0.400997134132692,44.3566858766952,2.89435688963486,-6.10264308970036
Ethiopia,2009,10.36,8.80255319782566,0.68272936693443,8.48364404530282,2.83966010377931,-5.61292159128204
Ethiopia,2010,10.24,12.5505383459308,0.963030625359937,8.14926402965082,2.83517457968806,-5.270419046402431
Ethiopia,2011,10.48,11.1782962271641,1.96735663905254,33.2499598823344,2.84354457485296,-5.92302774074005
Ethiopia,2012,9.96,8.64781163337416,0.643172898229037,23.600417677317,2.80390393439601,-8.13500899469497
Ethiopia,2015,12.14,10.3924630202334,4.06648896536453,9.56889955968623,2.68480186138776,-13.85359689817464
Ethiopia,2018,12.13,6.81614779681703,3.98771971634175,13.8330356586661,2.69675179524869,-12.30455119270131
Ethiopia,2021,12.66,5.64153071734657,3.82830640829097,26.8395221557722,2.67249538803955,-11.363400666231968
France,2000,2.41,4.14099999646893,3.04117027418416,1.67595988720927,0.686335719566776,12.920448306664
France,2001,3.37,1.89946700332246,3.65899790543178,1.63478079549601,0.7289939490983,17.86738631193402
France,2002,2.45,1.06775025028361,3.45413596292303,1.9234122872706,0.727033002641047,27.60735110651001
France,2003,2.52,0.967827177709708,2.30782482603352,2.09847219146923,0.705638836747311,24.042402513737976
France,2004,2.24,2.86825057188587,1.68777447237363,2.14208964640241,0.732625502527391,17.355875954815062
France,2005,2.46,1.88856580217112,3.88373065839251,1.74586936380482,0.751885116821619,-0.2832413129549561
France,2006,2.3,2.7140645179325,3.40646118259264,1.67512449608723,0.696338574828463,-8.152873482859984
France,2007,2.24,2.53048186196499,3.15449449926763,1.4879980595386,0.618225682593305,-18.508898565244017
France,2008,1.72,0.380171425522363,2.32326700027606,2.81286194914787,0.558020613148126,-41.912581724073
France,2009,1.85,-2.82455150288962,0.682311492843149,0.0876204781574552,0.513351013325229,-32.83316027974707
France,2010,2.13,2.00032472699981,1.46961673029144,1.53112270420926,0.492976371032656,-43.51509209620105
France,2011,1.59,2.43757656877079,1.54005293306163,2.11159795174994,0.482667411007127,-56.663277933557005
France,2012,1.46,0.183835271019575,1.22790071519382,1.9541953161351,0.483714919435185,-37.81805443829297
France,2013,1.49,0.781756445913402,1.18823404938295,0.863715497861805,0.516915013016667,-23.35450081622595
France,2014,2.03,0.997832937998666,0.176974174772525,0.50775882293799,0.474847846171767,-28.20108071881299
France,2015,2.02,1.06675473488909,1.76596182973896,0.0375143805125182,0.355569240058298,-9.464220662781006
France,2016,2.09,0.860031082016107,1.44200321416196,0.18333486112386,0.263868788565368,-12.213077214982055
France,2017,1.96,2.08361485062076,1.68928072199317,1.03228275064662,0.29020211635109,-19.613632197392945
France,2018,1.83,1.64590872932709,2.78594184568695,1.85081508315502,0.358494581816163,-28.41822396034204
France,2019,1.84,2.02744647639635,1.96486943301562,1.10825492288294,0.332559129027963,-15.554877925810914
France,2020,1.48,-7.44064593044142,0.731471704018579,0.476498852725066,0.324557781035362,-45.868551352825925
France,2021,1.39,6.88233786590355,3.30405312221271,1.64233141038385,0.356902332389048,-30.254884487257936
France,2022,1.33,2.57084047443969,3.91856445477022,5.22236748369735,0.326992498564887,-71.19997171284997
Greece,2000,2.41,4.13782709945785,-0.0065167449554775,3.1511816249383,0.409041838238246,-12.284230677971198
Greece,2001,3.37,4.65041412229992,0.0015155315166,3.37396832213867,0.51988446396193,-11.223539207779698
Greece,2002,2.45,4.68313735902784,0.0227485404811931,3.62935871878874,0.366566462148184,-11.147091802645
Greece,2003,2.52,5.79682303463183,0.715017038222185,3.53065027765552,0.238643175320258,-12.580761258143404
Greece,2004,2.24,5.37786629728755,0.914091172780162,2.8988481075817,0.247413542822812,-12.5691910358461
Greece,2005,2.46,1.18350610206699,0.284127006962334,3.54507273335078,0.293249074052818,-15.079881453318
Greece,2006,2.3,6.44339775049335,2.01112523714783,3.19594684144545,0.30033180096664,-24.89701111798509
Greece,2007,2.24,3.50687018582884,0.622837777539062,2.89500321516578,0.254757581935775,-34.234036426200205
Greece,2008,1.72,0.0574735793110506,1.6328960526629,4.15279708110293,0.265457836726293,-39.4590313779514
Greece,2009,1.85,-4.11927598076629,0.846404808815716,1.21007269197809,0.263026401346927,-25.077520775812904
Greece,2010,2.13,-5.69374120273665,0.179789223267027,4.71298907760388,0.128880432668041,-20.250975319824203
Greece,2011,1.59,-9.87677903873015,0.385622565634744,3.3298532335065,-0.147951277402184,-17.349218680890107
Greece,2012,1.46,-8.33113395866982,0.695897838082299,1.50152696177758,-0.540752950543684,-5.996099810510307
Greece,2013,1.49,-2.27211692215486,1.24506178790059,-0.921269454256994,-0.725120806658085,-6.744497465675599
Greece,2014,2.03,0.792225038353592,1.15314480305525,-1.31226096405506,-0.666113290031891,-5.246311025798599
Greece,2015,2.02,-0.228301959026894,0.652184629866422,-1.73588804765284,-0.658861360878339,-1.2200571968355027
Greece,2016,2.09,-0.0317952126675323,1.3975055397238,-0.825653978390973,-0.415913028277122,-1.7134917916051025
Greece,2017,1.96,1.47312498503697,1.7162955046024,1.12125452031419,-0.197783224759792,-1.6562896428092957
Greece,2018,1.83,2.06467253338354,1.88723349665644,0.62562141345364,-0.202880238259165,-3.935248275212906
Greece,2019,1.84,2.27718063644569,2.41172201156202,0.253007522038157,-0.105339392724138,-2.008001793220612
Greece,2020,1.48,-9.19623147082588,1.72637818314203,-1.24798355581405,-0.214592106571664,-12.7368239850859
Greece,2021,1.39,8.65449785311438,2.80914754352091,1.22382501019854,-1.21680248998544,-16.01131934570311
Greece,2022,1.33,5.74364918958959,3.63119902887991,9.64525981280632,-1.25988945727074,-21.630962871037998
India,1990,56.36,5.53345456125301,0.0737400205365026,8.9712325027325,2.213130886438,-6.615557120094997
India,1992,27.01,5.48239602040357,0.0959419487133591,11.7878170418134,2.12998519274824,-4.712170094933102
India,1996,23.72,7.54952224920051,0.617479351603705,8.97715233826453,1.99775909414655,-13.9843146812342
India,1997,20.13,4.04982084998183,0.860208959660141,7.16425211462724,1.966425183613,-13.360131754465996
India,1999,28.51,8.84575555939531,0.472644191458928,4.66982038037594,1.90202919152067,-11.441228840349998
India,2000,23.36,3.84099115659129,0.765211694280819,4.0094359104519,1.87939826197393,-13.143494265904303
India,2001,26.51,4.82396626555771,1.05638020993358,3.77929312235637,1.87060822112685,-9.180938408722891
India,2002,23.08,3.80397532112175,1.01156946489919,4.29715203929563,1.81129424097937,-5.122207191986999
India,2003,21.45,7.8603814759073,0.605887857091794,3.80585899528851,1.73438204419235,-8.164091361147399
